latitude,longitude,volume,year
42.71516,-76.40451,42,2019
42.71489,-76.40509,39,2015
42.38951,-71.14181,70,2016
41.82063,-71.42895,72,2015
42.47998,-76.45123,39,2016
33.5587,-84.55818,52,2017
33.50624,-84.33269,52,2015
32.46815,-83.72557,59,2016
33.65593,-84.48597,72,2014
41.82048,-71.42895,62,2015
42.46009,-76.48364,47,2016
42.48014,-76.45105,34,2019
40.61101,-75.49441,52,2015
40.61413,-75.35048,63,2012
39.94969,-75.1672,53,2014
42.54205,-76.53897,46,2015
25.41682,-101.00217,56,2016
19.28704,-96.44006,58,2017
16.74741,-92.6449,31,2018
39.94695,-75.16708,58,2019
26.93899,-101.40376,44,2011
22.42148,-97.93154,46,2012
25.41683,-101.00231,55,2013
20.99237,-89.56975,40,2014
25.63946,-100.20676,45,2015
21.15375,-86.86518,61,2017
20.99237,-89.56975,49,2018
39.94971,-75.17148,68,2019
19.59368,-99.01196,50,2020
42.47711,-76.46714,70,2017
42.47642,-76.46707,81,2018
42.47696,-76.46715,78,2019
33.79872,-84.51763,58,2020
21.19725,-86.80549,41,2011
33.50631,-84.33275,40,2012
25.63088,-100.20836,38,2013
25.62942,-100.21066,34,2014
25.62891,-100.21096,56,2015
25.62736,-100.21262,51,2011
25.6276,-100.21308,43,2012
25.62766,-100.21311,57,2013
25.6392,-100.20728,59,2014
0.34454,-76.29394,52,2015
21.14467,-86.85065,48,2017
-12.08573,-76.99379,60,2018
42.51826,-76.50368,59,2019
21.14592,-86.85018,41,2020
19.49553,-99.06155,48,2017
43.27929,-76.1491,71,2018
19.58137,-99.01693,55,2019
21.15375,-86.86518,64,2020
21.15375,-86.86518,67,2017
44.8883,-93.07243,39,2018
43.05574,-76.15769,69,2019
25.30058,-100.13933,46,2020
25.30058,-100.13933,46,2020
20.08364,-104.0969,54,2014
21.15373,-86.86528,61,2015
30.39007,-91.18244,41,2016
33.56164,-84.56215,39,2017
33.50646,-84.33327,43,2018
33.79564,-84.40785,73,2019
28.26678,-105.46501,61,2012
28.26377,-105.46824,68,2013
28.26185,-105.47672,73,2014
28.26113,-105.47687,62,2015
25.72843,-100.33477,65,2016
-32.98842,-60.65026,70,2017
25.64011,-100.20226,61,2018
19.39774,-99.07551,57,2019
18.93798,-99.23446,59,2010
18.94137,-99.24079,49,2011
18.429,-66.04829,75,2012
18.9363,-99.24582,66,2013
47.57151,-122.13459,53,2014
25.62852,-100.21116,37,2015
33.66312,-84.45629,66,2016
42.42242,-71.19022,44,2013
42.71512,-76.40454,39,2014
32.72784,-117.15201,0,2015
32.72595,-117.14933,0,2016
16.74632,-92.64363,63,2019
32.74126,-117.14962,0,2019
21.1971,-86.80544,26,2014
8.74008,77.66209,73,2015
37.70419,-84.98624,40,2013
32.71942,-117.16799,86,2014
32.72718,-117.14959,44,2015
32.72672,-117.14966,63,2016
21.15375,-86.86518,64,2019
32.38821,-82.94164,64,2019
25.74233,-100.41924,79,2014
25.649,-100.33482,79,2015
25.68587,-100.48071,61,2016
25.68571,-100.48094,81,2019
25.68571,-100.48092,82,2010
-19.94468,-43.93964,57,2011
47.57154,-122.1345,45,2012
27.06671,-82.34645,58,2013
25.75634,-100.3124,56,2014
33.80946,-84.36619,63,2015
44.96145,-93.0672,53,2016
44.96153,-93.06727,61,2010
44.96149,-93.06717,55,2011
44.96148,-93.06719,55,2012
44.96155,-93.0673,47,2013
44.95265,-93.09125,66,2014
44.79954,-93.38703,73,2015
44.79575,-93.403,68,2016
44.79575,-93.403,51,2019
44.79575,-93.403,48,2010
44.7735,-93.39923,76,2011
-38.09688,145.13506,54,2012
52.39863,16.94833,49,2013
33.66671,-84.44527,75,2014
33.87328,-84.3458,40,2019
33.66682,-84.44511,68,2014
33.66647,-84.4456,61,2019
40.71791,-73.99153,52,2010
33.79041,-84.20495,45,2011
-37.71668,144.76422,53,2012
18.97013,-99.23006,58,2013
-38.11555,147.07656,62,2014
33.85457,-84.47992,47,2015
33.51947,-86.80736,48,2016
33.57274,-84.37,65,2019
25.22279,-99.93375,71,2013
25.22279,-99.93375,71,2014
25.22279,-99.93375,71,2014
-37.88031,147.97964,51,2015
33.94985,-84.26957,65,2015
-37.88035,147.97965,61,2016
21.15228,-88.16314,50,2016
-37.71672,144.76418,51,2017
33.95323,-84.29308,48,2018
47.57845,-122.16637,52,2019
33.92882,-84.2951,39,2019
45.56045,-94.32055,33,2019
45.58099,-94.39065,56,2013
45.59861,-94.38839,71,2019
45.60013,-94.3873,79,2019
8.98034,-79.5647,36,2019
8.98034,-79.5647,45,2019
8.97217,-79.5635,83,2013
8.97246,-79.56322,84,2014
18.99514,72.84743,45,2019
8.98017,-79.56419,56,2019
8.92393,-79.53855,70,2010
33.8644,-84.2939,66,2011
33.88968,-84.27926,39,2012
33.86425,-84.29117,50,2013
8.97191,-79.56414,77,2014
33.79695,-84.40366,38,2015
33.78311,-84.10702,55,2016
33.99403,-84.0713,52,2014
33.9077,-84.33777,53,2015
33.90772,-84.33777,55,2016
33.7823,-84.31601,52,2019
43.02808,-76.13647,49,2019
-37.71073,144.74212,62,2019
-33.92393,18.4211,47,2019
32.61494,-83.69051,46,2019
-33.92393,18.4211,51,2019
-33.92393,18.4211,46,2019
-33.9239,18.4212,44,2010
33.84679,-84.23641,55,2011
33.84681,-84.23637,52,2012
40.85344,-73.06044,36,2013
43.02807,-76.13646,78,2013
-12.12027,-76.96376,58,2019
41.51647,-72.9282,53,2019
41.5747,-73.05483,39,2015
-36.03146,144.59375,47,2016
44.91434,-93.11509,51,2019
20.68612,-103.45346,45,2015
21.15557,-86.83088,71,2016
34.13799,-116.05864,49,2019
41.65418,-83.53736,53,2019
38.79397,-89.99944,48,2013
50.69174,-119.7946,52,2014
42.43177,-71.07092,60,2019
33.9835,-84.45178,63,2013
20.67437,-103.45112,69,2019
20.69503,-103.34539,74,2019
19.14739,-100.11356,41,2019
33.68989,-117.833,56,2014
20.7292,-103.30821,76,2015
51.25736,0.58663,54,2016
51.25724,0.58657,64,2019
51.25734,0.58651,52,2010
51.25731,0.58652,49,2011
51.25723,0.58661,55,2012
51.25734,0.58651,60,2013
51.25725,0.58651,58,2014
51.25727,0.58652,53,2019
35.68121,139.52124,61,2019
51.25734,0.58649,34,2014
51.25727,0.58645,55,2015
35.70368,139.67082,48,2016
51.25734,0.58651,33,2019
43.12947,-93.23302,45,2014
43.12947,-93.23302,47,2015
20.69318,-103.36484,76,2016
51.25734,0.58652,33,2019
51.25734,0.58651,40,2013
51.25736,0.58651,40,2014
25.66577,-100.32547,51,2015
25.6667,-100.32588,63,2016
25.6668,-100.32649,63,2019
42.44695,-76.48896,37,2019
43.02813,-76.13638,48,2019
35.68121,139.52124,72,2013
35.68121,139.52124,60,2014
42.44112,-71.0852,55,2015
40.90696,-73.78117,73,2016
40.90686,-73.78124,73,2019
40.90691,-73.7812,63,2019
40.90709,-73.7813,64,2019
42.43915,-71.07827,71,2012
35.68254,139.52839,74,2014
35.68276,139.52879,63,2014
35.68048,139.52961,63,2015
35.68261,139.52858,72,2015
35.68279,139.52878,71,2016
35.68269,139.52882,61,2016
35.68049,139.52961,57,2017
35.68022,139.52997,69,2018
43.02809,-76.13651,51,2019
43.12947,-93.23302,51,2010
35.75402,139.53527,46,2011
35.6827,139.52882,70,2012
35.68265,139.52877,74,2013
35.68316,139.52816,58,2014
35.68295,139.52785,68,2015
35.68294,139.52789,63,2016
35.68293,139.52795,67,2016
35.68302,139.52784,67,2019
35.68299,139.52786,63,2019
35.68303,139.52786,69,2017
35.683,139.52805,66,2018
35.68303,139.52806,70,2019
35.68271,139.52882,71,2019
35.68247,139.52813,71,2019
35.68283,139.52893,68,2019
35.68273,139.5287,69,2013
35.68263,139.52887,70,2014
35.68269,139.52876,66,2015
35.68271,139.52892,65,2016
35.68269,139.52875,66,2019
35.68276,139.52884,64,2019
35.68273,139.52885,59,2019
35.68273,139.52891,59,2019
35.68275,139.52913,56,2019
35.68275,139.52902,61,2019
35.68272,139.52907,57,2013
35.68274,139.52907,61,2014
35.68276,139.52907,56,2015
42.89581,-72.51134,41,2016
40.90689,-73.7811,74,2019
40.90762,-73.78179,72,2013
44.48413,-73.18935,42,2014
35.34351,-119.06422,55,2015
35.3435,-119.06424,63,2016
35.34351,-119.06423,70,2019
40.90709,-73.78123,70,2014
39.98353,-82.01326,49,2015
47.61402,-109.4263,32,2019
33.6673,-84.4469,69,2019
33.66696,-84.44703,71,2014
33.66759,-84.44732,59,2013
33.66384,-117.84759,65,2014
25.65018,-100.28884,67,2015
25.53192,-100.1598,49,2016
25.53473,-100.15627,31,2019
25.54935,-100.12709,42,2019
40.83514,-73.94364,71,2019
40.8351,-73.94373,48,2012
20.68623,-88.20045,75,2013
23.23879,-106.44577,83,2014
25.54484,-100.27047,29,2015
40.82156,-73.95397,73,2016
40.83513,-73.94367,25,2017
35.75402,139.53526,53,2018
33.66045,-84.60212,59,2019
36.73838,-119.80924,59,2013
40.90712,-73.78128,63,2014
40.90713,-73.7812,60,2015
40.90698,-73.78115,76,2016
40.90754,-73.78171,80,2019
40.90708,-73.7813,74,2015
25.7547,-100.30196,77,2016
51.25731,0.58653,30,2019
-37.76574,144.91347,54,2013
40.71589,-74.01242,49,2014
33.69654,-84.56849,57,2015
43.01869,-76.16142,76,2016
33.47896,-84.44457,81,2015
33.47876,-84.44443,80,2016
44.73036,-73.00058,45,2013
32.72718,-117.14974,49,2014
42.71514,-76.40444,42,2015
33.69629,-84.56822,56,2016
33.69679,-84.56823,67,2017
32.72701,-117.14905,66,2018
42.31323,-89.10681,68,2019
41.62093,-83.57552,42,2010
48.11127,-123.41368,40,2013
40.87064,-73.91903,65,2014
40.79091,-73.95352,69,2015
43.02806,-76.13649,47,2016
40.87068,-73.91924,55,2017
40.50728,-75.70297,72,2018
40.50728,-75.70288,74,2019
40.78601,-73.97536,68,2010
40.50171,-75.69408,73,2013
40.50724,-75.70286,72,2014
40.72896,-73.98697,72,2015
40.50725,-75.70279,72,2016
40.50641,-75.70168,76,2017
40.50641,-75.70168,76,2018
40.50686,-75.70257,76,2019
40.50725,-75.70281,76,2010
40.87139,-73.92009,48,2010
40.50576,-75.70242,70,2013
25.09557,-80.44093,58,2014
40.50725,-75.70279,73,2015
32.49692,-83.6563,48,2016
40.50724,-75.71479,72,2017
40.50726,-75.70279,74,2018
40.50726,-75.70279,77,2019
40.50725,-75.70279,76,2010
40.50726,-75.7028,74,2013
40.50726,-75.70281,75,2014
42.33474,-76.46558,63,2015
-38.64749,146.20562,38,2016
40.50728,-75.70277,70,2017
40.50725,-75.70258,74,2018
40.50724,-75.70279,74,2019
40.50735,-75.70317,76,2010
43.02816,-76.13646,76,2013
40.50583,-75.70221,74,2014
40.50725,-75.7028,74,2015
40.50724,-75.703,76,2016
40.48204,-75.74096,70,2017
43.74158,-79.43088,59,2010
40.83508,-73.94364,69,2013
40.50733,-75.70303,74,2014
40.50727,-75.70292,75,2015
48.07814,11.93888,49,2016
40.50732,-75.70322,74,2017
48.0796,11.87436,69,2018
43.12956,-93.23319,72,2019
40.50723,-75.70276,75,2010
39.94912,-75.19663,56,2013
40.50723,-75.70281,75,2014
40.50581,-75.7023,76,2015
39.4605,-0.37154,43,2016
39.4657,-0.35719,76,2017
40.50724,-75.70279,76,2018
40.50743,-75.70338,65,2019
42.03396,-70.09596,77,2010
40.19674,-0.11754,59,2013
42.03981,-70.09705,55,2014
40.50596,-75.70225,74,2015
40.50595,-75.702,74,2016
42.03958,-70.09716,42,2017
39.46052,-0.37152,42,2018
39.46049,-0.37145,43,2019
39.46853,-0.35558,66,2010
39.46842,-0.35588,73,2013
25.64338,-100.32974,56,2014
40.50192,-75.71807,72,2015
39.46051,-0.37163,42,2016
39.46925,-0.37245,77,2017
39.46994,-0.37126,72,2018
39.46976,-0.36453,73,2019
39.46839,-0.35588,76,2013
37.76898,-122.42479,52,2014
37.76898,-122.42479,49,2015
40.50704,-75.70284,74,2016
40.50703,-75.70276,75,2017
42.03974,-70.09698,42,2018
37.76896,-122.42475,40,2019
37.76899,-122.42476,41,2010
37.7688,-122.42483,44,2013
37.769,-122.42478,43,2014
37.76898,-122.42479,40,2015
37.76898,-122.42479,40,2016
37.76902,-122.42485,41,2017
37.76903,-122.42485,41,2018
37.76898,-122.42479,40,2019
37.76911,-122.42468,40,2010
37.76904,-122.42466,47,2013
37.76904,-122.42466,42,2014
37.76906,-122.42464,42,2015
37.76905,-122.42468,45,2016
37.76894,-122.42445,43,2017
37.76893,-122.42461,42,2018
37.76901,-122.42454,43,2019
37.76896,-122.42469,46,2013
37.76898,-122.42484,45,2014
37.76898,-122.42484,43,2015
37.76894,-122.42465,44,2016
37.76898,-122.4248,40,2017
37.76895,-122.42475,42,2018
37.76899,-122.42466,45,2019
37.76899,-122.4247,47,2010
37.76901,-122.42479,40,2013
40.50593,-75.70201,75,2014
37.76898,-122.42474,52,2015
37.76896,-122.42471,52,2016
37.76897,-122.42473,51,2017
40.50724,-75.70282,75,2018
40.01013,-75.23147,77,2019
51.10052,-114.22511,64,2013
40.50712,-75.70283,75,2014
39.90083,-75.16677,83,2015
41.47533,-81.45102,39,2016
33.06421,-117.29102,75,2017
33.79039,-84.20512,42,2018
43.0314,-76.14131,73,2019
43.02812,-76.13645,44,2010
48.83442,2.24603,61,2013
40.75471,-73.98423,72,2014
40.81279,-74.07445,83,2015
29.57479,-98.43657,41,2016
-38.40234,142.15784,88,2017
35.31303,-81.00822,60,2018
35.31315,-81.00841,54,2019
40.61154,-75.37914,48,2010
33.04191,-117.29295,66,2013
40.90719,-73.78126,74,2014
41.88646,-73.8207,28,2015
48.83439,2.24605,71,2016
39.46047,-0.37167,54,2017
32.72764,-117.1486,69,2018
38.4555,-90.54885,47,2019
41.88559,-73.82087,45,2010
-34.48593,138.28032,43,2013
40.90746,-73.78204,82,2014
39.8748,-75.24377,72,2015
47.65582,-114.6724,85,2016
39.56114,-104.77598,50,2017
39.34906,-83.00017,61,2018
53.41649,-113.44901,57,2019
33.73733,-84.43029,71,2010
21.24873,-86.75279,85,2013
21.24873,-86.75279,82,2014
39.55659,-104.77299,77,2015
47.57153,-122.13441,62,2016
44.90225,-92.5034,47,2017
37.51353,-122.27266,48,2018
37.51355,-122.27273,49,2019
46.41986,-120.30448,30,2010
32.53701,-82.92906,49,2013
40.77802,-73.98274,69,2014
42.47026,-71.06899,62,2015
40.84882,-73.93951,75,2016
43.04886,-76.17059,73,2017
43.02752,-76.13616,52,2018
40.83515,-73.94376,56,2019
40.86321,-73.91859,70,2010
40.8635,-73.92664,57,2013
35.01951,-92.0025,42,2014
35.0195,-92.0025,45,2015
33.72575,-84.42386,55,2016
35.01947,-92.00248,47,2017
40.86304,-73.92736,81,2018
40.86305,-73.92735,80,2019
40.86309,-73.92736,80,2018
-16.81924,145.63268,68,2010
40.85489,-73.9376,53,2013
40.85489,-73.9376,57,2014
40.86779,-73.92664,65,2015
40.86779,-73.92664,71,2016
40.86779,-73.92664,73,2017
43.12947,-93.23302,46,2018
43.12966,-93.23312,44,2019
40.82499,-73.94163,66,2010
40.82499,-73.94163,67,2013
40.85693,-73.92778,78,2014
40.86304,-73.92737,78,2015
40.85702,-73.92776,81,2016
43.81953,-79.42126,58,2017
35.01953,-92.0025,64,2018
35.01953,-92.0025,53,2019
43.76517,-79.40857,68,2013
43.02912,-76.16165,67,2014
43.65409,-79.40184,70,2015
40.83513,-73.94373,38,2016
40.83516,-73.94365,55,2017
40.86309,-73.92737,75,2018
40.84607,-73.9383,79,2019
32.7271,-117.1496,66,2013
40.86351,-73.92698,74,2014
44.70727,-63.58943,69,2015
44.70705,-63.58954,66,2016
44.70721,-63.58976,57,2017
40.19317,44.48933,56,2018
37.67902,-97.29306,67,2019
41.11369,-81.53434,48,2010
40.84601,-73.93813,73,2013
-28.16652,153.5115,80,2014
39.45962,-87.3471,52,2015
44.9023,-92.50282,50,2016
40.86323,-73.92726,81,2017
40.82499,-73.94164,80,2018
40.84613,-73.93842,83,2019
33.7477,-84.46794,44,2013
40.90688,-73.78099,74,2014
40.9068,-73.78094,74,2015
40.90718,-73.78089,71,2016
43.03123,-76.14103,68,2017
50.68622,-120.29853,44,2018
33.87756,-77.99811,53,2019
34.78315,135.63392,81,2010
43.03929,-76.14396,77,2013
44.63269,26.22328,43,2014
33.88965,-84.2792,38,2015
40.86315,-73.92736,80,2016
31.51025,-91.29637,53,2017
31.51054,-91.29642,50,2018
31.51057,-91.29648,50,2019
21.14468,-86.85063,50,2010
41.47513,-81.46293,54,2013
40.29073,-7.53425,48,2014
41.40141,-82.22231,51,2015
31.50937,-91.29764,52,2016
43.02808,-76.13648,64,2017
46.12654,-64.40538,43,2018
49.32301,-123.13172,81,2019
37.79917,-122.40884,73,2010
-34.8511,138.59584,48,2013
49.27174,-123.18646,58,2014
39.42857,-8.21316,49,2015
38.96548,-95.26645,53,2016
44.90227,-92.50318,52,2017
31.51114,-91.29566,52,2018
31.51081,-91.29645,56,2019
44.98958,-93.05711,67,2010
44.98957,-93.05699,65,2013
44.98739,-93.05642,57,2014
44.98928,-93.0512,65,2015
44.9875,-93.05651,57,2016
44.98589,-93.05643,57,2017
44.98672,-93.0565,57,2018
44.9885,-93.0565,67,2019
44.98575,-93.0563,58,2019
44.98677,-93.05663,64,2010
44.98557,-93.05616,56,2013
44.98305,-93.05434,61,2014
44.98234,-93.05843,61,2015
44.983,-93.05451,59,2016
44.98409,-93.05496,61,2017
44.98296,-93.05433,58,2018
44.98413,-93.05497,61,2019
44.98187,-93.05259,55,2013
44.98109,-93.05323,63,2014
44.98186,-93.05257,60,2015
44.98191,-93.05251,59,2016
