country,city,year,ph,sulphates,chlorides
Afghanistan,Kabul,2019,2.750273705,10.71470261,56.29341125
Albania,Durres,2015,2.225601673,22.9528389,72.57880402
Albania,Durres,2016,4.972455502,28.68599129,59.84363937
Albania,Elbasan,2015,8.674664497,89.17211151,1.916593432
Albania,Elbasan,2016,8.606856346,88.470047,1.891909361
Albania,Elbasan,2017,8.837582588,90.15952301,0.610365331
Albania,Korce,2015,8.231111526,85.97369385,5.371551037
Albania,Korce,2016,7.897468567,45.25978851,40.91453934
Albania,Vlore,2014,8.83713913,90.15981293,0.619837284
Albania,Vlore,2015,13.74495411,24.07975769,50.09000397
Albania,Vlore,2016,8.268690109,71.50935364,19.14466286
Albania,Vlore,2019,8.38449192,87.20262909,3.83150363
Albania,Vrith,2015,8.891109467,90.39109039,0
Andorra,Escaldes-Engordany,2012,8.893141747,90.41175842,0
Andorra,Escaldes-Engordany,2014,8.886903763,90.3483963,0
Andorra,Escaldes-Engordany,2015,0.352749318,4.624246597,57.32019806
Andorra,Escaldes-Engordany,2016,7.570104122,77.28312683,0.62864536
Andorra,Escaldes-Engordany,2017,8.445699692,86.96726227,4.024977207
Andorra,Escaldes-Engordany,2018,8.932519913,90.81208038,0
Andorra,Escaldes-Engordany,2019,8.909749985,90.58065033,0
United Arab Emirates,Abu Dhabi,2011,8.465257645,87.36974335,3.361823559
United Arab Emirates,Abu Dhabi,2012,7.042485714,77.59944153,13.51044083
United Arab Emirates,Abu Dhabi,2013,24.00697136,2.74904418,56.2482872
United Arab Emirates,Abu Dhabi,2014,8.939329147,90.88137054,0
United Arab Emirates,Abu Dhabi,2015,8.782897949,89.59399414,0.591746271
United Arab Emirates,Abu Dhabi,2017,5.479326725,59.13277817,33.37159729
United Arab Emirates,Abu Dhabi,2018,6.010158539,41.68637466,47.47322083
United Arab Emirates,Abu Dhabi,2019,18.30925751,45.90095139,30.71126366
United Arab Emirates,Abu Dhabi,2020,7.976064205,81.79162598,9.74349308
United Arab Emirates,Ajman,2017,5.110411167,56.6649971,37.26722336
United Arab Emirates,Ajman,2018,12.39394093,20.42786789,46.83315277
United Arab Emirates,Ajman,2019,5.662370682,54.13394165,29.57407951
United Arab Emirates,Ajman,2020,15.14817715,45.42965698,38.57411194
United Arab Emirates,Al Ain,2011,18.80961227,21.26539993,43.93694687
United Arab Emirates,Al Ain,2012,7.022652149,7.343276501,76.01164246
United Arab Emirates,Al Ain,2013,4.854436398,54.72626114,32.98305893
United Arab Emirates,Al Ain,2014,4.201076031,4.827818394,13.41062927
United Arab Emirates,Al Ain,2015,8.341491699,86.27375031,4.391861439
United Arab Emirates,Al Gharbia,2011,7.775994301,12.98254681,40.78467941
United Arab Emirates,Al Gharbia,2012,7.652944088,78.71442413,13.11662865
United Arab Emirates,Al Gharbia,2013,25.44330406,25.37316132,38.55828094
United Arab Emirates,Al Gharbia,2014,3.030983925,13.47729111,79.20648193
United Arab Emirates,Al Gharbia,2015,8.56746769,88.37195587,2.48226428
United Arab Emirates,Dubai,2017,8.74926281,89.50744629,1.090389252
United Arab Emirates,Dubai,2018,5.937110901,51.74858856,21.66885185
United Arab Emirates,Dubai,2019,8.915131569,90.63536835,1.86E-09
United Arab Emirates,Dubai,2020,8.909236908,90.57536316,9.31E-10
United Arab Emirates,Ras Al Khaimah,2017,1.228777766,17.80902863,78.90401459
United Arab Emirates,Ras Al Khaimah,2018,16.3104744,61.21023941,15.06972694
United Arab Emirates,Ras Al Khaimah,2019,3.921837807,33.92385101,59.40565491
United Arab Emirates,Ras Al Khaimah,2020,8.912461281,90.60813904,0
United Arab Emirates,Sharjah,2017,7.717444897,78.72969818,11.50392151
United Arab Emirates,Sharjah,2018,5.287684917,58.01305008,29.41097069
United Arab Emirates,Sharjah,2019,8.945105553,90.94009399,3.73E-09
United Arab Emirates,Sharjah,2020,1.664225221,17.53150749,78.82395172
United Arab Emirates,Umm Al Quwain,2020,7.3469944,80.5734787,11.48351765
Argentina,Buenos Aires,2014,7.776786327,63.4154892,28.18652725
Argentina,Buenos Aires,2015,10.88161564,71.63895416,12.20321846
Argentina,Buenos Aires,2016,8.246982574,86.04368591,4.298247814
Argentina,Buenos Aires,2017,8.922839165,90.71366119,0
Argentina,Buenos Aires,2018,8.908364296,90.56653595,0
Argentina,Buenos Aires,2019,8.78215313,89.28344727,3.73E-09
Australia,Adelaide,2012,8.232494354,83.80884552,4.991428375
Australia,Adelaide,2013,8.91543293,90.6383667,0
Australia,Adelaide,2014,8.900052071,90.48204803,9.31E-10
Australia,Adelaide,2015,8.944072723,90.92952728,0
Australia,Adelaide,2016,8.560165405,87.34433746,0.620470583
Australia,Adelaide,2017,74.43863678,0,0
Australia,Adelaide,2018,51.35042953,16.12953377,0
Australia,Adelaide,2019,91.34634399,0,0
Australia,Albany,2010,49.92088699,48.85168457,1.217628837
Australia,Albany,2011,65.60232544,22.45636559,7.45E-09
Australia,Albany,2012,46.00971603,49.77105331,0
Australia,Albany,2013,33.42602158,0,0
Australia,Albany,2014,30.47008133,0.503324986,0
Australia,Albany,2015,12.51408958,82.86994934,0
Australia,Albany,2016,66.13704681,0,0
Australia,Albury,2013,82.58223724,0,0
Australia,Albury,2014,79.87562561,0.605507433,0.48588264
Australia,Albury,2015,45.65735626,54.19114304,0
Australia,Albury,2016,8.414583206,85.54651642,0
Australia,Albury,2019,28.05000305,0,0
Australia,Armidale,2019,0.157159328,1.597754002,0
Australia,Ayr,2014,6.212390423,70.33153534,20.51395798
Australia,Ayr,2015,8.935097694,90.83830261,0
Australia,Bathurst,2013,2.187990189,11.71145535,71.26843262
Australia,Bathurst,2014,2.859527349,17.95465851,77.66067505
Australia,Bathurst,2015,8.924476624,90.73032379,0
Australia,Bathurst,2016,8.931680679,90.80361938,0
Australia,Bathurst,2019,8.034693718,81.50289917,10.02061081
Australia,Bream Creek,2019,7.73473835,20.22919083,34.15053177
Australia,Brisbane,2014,8.220237732,83.92414093,5.729788303
Australia,Brisbane,2015,1.791438222,8.938324928,46.70765686
Australia,Brisbane,2016,12.56733894,75.30927277,3.885570526
Australia,Brisbane,2019,8.934207916,90.8292923,4.66E-10
Australia,Bunbury,2010,8.905954361,90.54204559,1.86E-09
Australia,Bunbury,2011,15.98494911,18.99040985,45.53047943
Australia,Bunbury,2012,2.566465378,26.09186745,0
Australia,Bunbury,2013,18.30686569,7.0190382,69.94741821
Australia,Bunbury,2014,10.30683708,3.918531895,45.50728226
Australia,Bunbury,2015,3.07210207,36.61258698,38.84648132
Australia,Bunbury,2016,8.945953369,90.94864655,0
Australia,Busselton,2010,7.802961826,79.32850647,0
Australia,Busselton,2011,8.643614769,87.875,0
Australia,Busselton,2012,7.940032482,41.12795258,48.42776489
Australia,Busselton,2013,4.567991257,34.00468826,60.44063187
Australia,Busselton,2014,17.31731987,66.69176483,15.43188572
Australia,Busselton,2015,11.93845081,50.46382141,7.129593849
Australia,Busselton,2016,8.928792,90.77420807,0
Australia,Campbell Town,2019,3.904514551,10.67661762,41.86200714
Australia,Canberra,2010,8.839510918,57.86216354,31.32257271
Australia,Canberra,2011,8.919857979,90.68334198,0
Australia,Canberra,2012,8.501270294,74.65363312,15.25345898
Australia,Canberra,2013,6.394616127,68.84173584,22.94235611
Australia,Canberra,2014,8.926205635,90.74789429,0
Australia,Canberra,2019,2.543534756,18.01661873,27.13461685
Australia,Central Coast,2014,3.280074596,7.567280769,44.41792297
